agent,episode,accuracy,stderr,n_seeds
B,25,0.40885416666666663,0.010370059423189252,8
B,26,0.4166666666666667,0.012450298013899935,8
B,27,0.4088541666666667,0.030734210643337624,8
B,28,0.40625,0.029462782549439473,8
B,29,0.40885416666666663,0.025798717927955073,8
B,30,0.42708333333333337,0.01623320255154124,8
B,31,0.37760416666666663,0.011436328979865627,8
B,32,0.4453125,0.01109230023502647,8
B,33,0.37239583333333337,0.022075154314206542,8
B,34,0.4114583333333333,0.01877891289304161,8
B,35,0.40104166666666663,0.02354061312433984,8
B,36,0.3723958333333333,0.027682671387329813,8
B,37,0.375,0.017161551480164877,8
B,38,0.390625,0.026919721004651103,8
B,39,0.3828125,0.03498013094618007,8
B,40,0.36979166666666663,0.01229368425733505,8
B,41,0.39583333333333337,0.0157485197087178,8
B,42,0.421875,0.01290874372983443,8
B,43,0.4192708333333333,0.01822916666666666,8
B,44,0.3984375,0.019462926130250486,8
B,45,0.44010416666666663,0.020995462886194135,8
B,46,0.3880208333333333,0.027542327409047027,8
B,47,0.4088541666666667,0.03385416666666666,8
B,48,0.44010416666666663,0.01985715200161089,8
B,49,0.4088541666666667,0.013603054537784392,8
B,50,0.41145833333333337,0.01290874372983443,8
B,51,0.4427083333333333,0.032644956798333784,8
B,52,0.40625,0.01473139127471974,8
B,53,0.4166666666666667,0.013057982719333516,8
B,54,0.40364583333333337,0.016674802701648048,8
B,55,0.3880208333333333,0.022936105121723734,8
B,56,0.4192708333333333,0.020243702173233322,8
B,57,0.3984375,0.03373950362205553,8
B,58,0.42708333333333337,0.024587368514670093,8
B,59,0.421875,0.01793448034701481,8
B,60,0.4114583333333333,0.016587423221434486,8
B,61,0.3854166666666667,0.018466776258914963,8
B,62,0.3645833333333333,0.02083333333333333,8
B,63,0.4010416666666667,0.021110507379629623,8
B,64,0.4140625,0.03160451195780865,8
B,65,0.40625,0.027277236279499045,8
B,66,0.39322916666666663,0.017358010635845543,8
B,67,0.3984375,0.012095065630214922,8
B,68,0.38541666666666663,0.02261708951424206,8
B,69,0.4114583333333333,0.03311638851825578,8
B,70,0.40625,0.030496877279641663,8
B,71,0.36197916666666663,0.014161358862108838,8
B,72,0.38802083333333337,0.011770306562169925,8
B,73,0.3854166666666667,0.02755990949025615,8
B,74,0.36979166666666663,0.01405836579441308,8
B,75,0.40364583333333337,0.023602264770181396,8
B,76,0.4114583333333333,0.010960505850190651,8
B,77,0.37760416666666663,0.030097163050864403,8
B,78,0.40885416666666663,0.01416135886210884,8
B,79,0.41666666666666663,0.030496877279641663,8
C,0,0.5833333333333334,0.01473139127471974,8
C,1,0.640625,0.012293684257335045,8
C,2,0.6588541666666666,0.016674802701648048,8
C,3,0.6614583333333334,0.015120834399480339,8
C,4,0.7265625,0.02711693771449691,8
C,5,0.703125,0.017496988119501254,8
C,6,0.75,0.018042195912175804,8
C,7,0.7890625,0.01546921345706235,8
C,8,0.7916666666666666,0.012450298013899927,8
C,9,0.8046875,0.013020833333333329,8
C,10,0.8203125,0.01757984724808134,8
C,11,0.8385416666666667,0.011646187382811406,8
C,12,0.8385416666666666,0.013495801448822219,8
C,13,0.8697916666666667,0.005208333333333342,8
C,14,0.859375,0.005208333333333331,8
C,15,0.8645833333333334,0.01760738030684409,8
C,16,0.8385416666666666,0.012293684257335052,8
C,17,0.8723958333333333,0.016905606796877626,8
C,18,0.8697916666666667,0.009440905908072561,8
C,19,0.8932291666666666,0.009989376177155914,8
C,20,0.8828125,0.007812500000000005,8
C,21,0.9010416666666667,0.009440905908072558,8
C,22,0.8854166666666667,0.01305798271933352,8
C,23,0.8828125,0.014161358862108833,8
C,24,0.9114583333333334,0.00652899135966675,8
C,25,0.8854166666666666,0.008803690153422044,8
C,26,0.8802083333333334,0.010228963604812144,8
C,27,0.8854166666666667,0.01305798271933352,8
C,28,0.890625,0.013495801448822219,8
C,29,0.8776041666666666,0.008293711610717248,8
C,30,0.8958333333333333,0.01113588507968435,8
C,31,0.8828125,0.015216637898971392,8
C,32,0.875,0.013638618139749531,8
C,33,0.8984375,0.01209506563021492,8
C,34,0.8776041666666667,0.009180775803015672,8
C,35,0.8802083333333333,0.006528991359666758,8
C,36,0.890625,0.007624219319910416,8
C,37,0.8697916666666667,0.01349580144882221,8
C,38,0.8802083333333333,0.010960505850190648,8
C,39,0.8854166666666666,0.008803690153422049,8
C,40,0.890625,0.012293684257335045,8
C,41,0.8854166666666667,0.00964395937263075,8
C,42,0.8828125,0.011770306562169918,8
C,43,0.9036458333333333,0.008748494059750629,8
C,44,0.8958333333333334,0.012450298013899927,8
C,45,0.8828125,0.015216637898971408,8
C,46,0.8984375,0.015469213457062345,8
C,47,0.8958333333333333,0.013638618139749531,8
C,48,0.8984375,0.008293711610717241,8
C,49,0.8828125,0.009593598927252703,8
C,50,0.8880208333333334,0.010370059423189248,8
C,51,0.9036458333333333,0.01241132984941389,8
C,52,0.8828125,0.010370059423189254,8
C,53,0.8828125,0.012411329849413899,8
C,54,0.8958333333333334,0.006819309069874755,8
C,55,0.8697916666666667,0.009440905908072564,8
C,56,0.8958333333333334,0.010416666666666661,8
C,57,0.890625,0.010228963604812133,8
C,58,0.8828125,0.010370059423189247,8
C,59,0.8854166666666667,0.013638618139749523,8
C,60,0.8828125,0.009593598927252691,8
C,61,0.8984375,0.011436328979865622,8
C,62,0.8854166666666667,0.009643959372630743,8
C,63,0.9010416666666667,0.010960505850190651,8
C,64,0.9088541666666666,0.006747900724411101,8
C,65,0.890625,0.012293684257335045,8
C,66,0.8880208333333333,0.0067479007244111095,8
C,67,0.8958333333333333,0.010416666666666657,8
C,68,0.8776041666666667,0.013315126613224162,8
C,69,0.8828125,0.009593598927252691,8
C,70,0.8671875,0.014698471923466077,8
C,71,0.8984375,0.006146842128667517,8
C,72,0.8854166666666667,0.011811389781538348,8
C,73,0.8776041666666667,0.009180775803015673,8
C,74,0.8880208333333333,0.013020833333333332,8
C,75,0.8776041666666666,0.015469213457062345,8
C,76,0.8984375,0.008293711610717241,8
C,77,0.8932291666666666,0.013885013100090415,8
C,78,0.8932291666666667,0.00614684212866752,8
C,79,0.8697916666666667,0.007624219319910419,8
D,0,0.4557291666666667,0.023437499999999997,8
D,1,0.4921875,0.021898902757085476,8
D,2,0.46354166666666663,0.012293684257335052,8
D,3,0.4453125,0.018015327400004832,8
D,4,0.45052083333333337,0.012411329849413899,8
D,5,0.47135416666666663,0.018440526386002572,8
D,6,0.4322916666666667,0.010960505850190651,8
D,7,0.45833333333333337,0.02083333333333333,8
D,8,0.48177083333333337,0.016440758775285974,8
D,9,0.45052083333333337,0.011770306562169925,8
D,10,0.45833333333333337,0.020457927209624284,8
D,11,0.44010416666666663,0.01906054829977604,8
D,12,0.4921875,0.022595661665268184,8
D,13,0.484375,0.01877891289304161,8
D,14,0.42708333333333337,0.018881811816145122,8
D,15,0.4921875,0.02456765919806407,8
D,16,0.42708333333333337,0.016233202551541242,8
D,17,0.48177083333333337,0.02472489382189474,8
D,18,0.48177083333333337,0.024089798471074512,8
D,19,0.46614583333333337,0.0188561397283842,8
D,20,0.47135416666666663,0.014161358862108842,8
